modelo,modo,semilla,repeticion,segundos,fraudes_totales,casos_elevados,fraudes_elevados,recall_detector,recall_sistema,precision_sistema,n_confirmados,n_descartados,n_fraude_descartado,fraude_descartado,n_descarte_correcto,auditoria,fiable,cobertura,error
llama3.1:8b,interpreta,42,1,17.3,5,4,4,0.8,0.8,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,42,2,17.2,5,4,4,0.8,0.8,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,42,3,16.1,5,4,4,0.8,0.8,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,7,1,13.1,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,7,2,12.9,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,7,3,16.8,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,123,1,17.4,5,3,3,0.6,0.6,1.0,0,0,0,,0,NO FIABLE - invencion semantica,False,1.0,
llama3.1:8b,interpreta,123,2,15.6,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,123,3,16.2,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,2024,1,18.3,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,2024,2,17.7,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,2024,3,17.4,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,99,1,14.9,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,99,2,13.4,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,99,3,12.7,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,555,1,14.0,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,555,2,14.4,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,interpreta,555,3,14.1,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,revisa,42,1,20.5,5,4,4,0.8,0.6,1.0,3,1,1,352,0,FIABLE,True,1.0,
